2022-01-10 17:45:05,475 - shioda_picard_computation.py:182 - INFO - ID: 5774, rho=18, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([1, 3, 0, 0]), array([4, 0, 0, 0])]
2022-01-10 17:45:05,575 - shioda_picard_computation.py:182 - INFO - ID: 5997, rho=18, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([3, 0, 0, 1]), array([0, 3, 0, 1])]
2022-01-10 17:45:05,646 - shioda_picard_computation.py:182 - INFO - ID: 5998, rho=20, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([3, 0, 0, 1]), array([0, 3, 1, 0])]
2022-01-10 17:45:05,709 - shioda_picard_computation.py:182 - INFO - ID: 5999, rho=18, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([3, 0, 0, 1]), array([0, 4, 0, 0])]
2022-01-10 17:45:07,938 - shioda_picard_computation.py:182 - INFO - ID: 6009, rho=10, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([3, 0, 0, 1]), array([1, 3, 0, 0])]
2022-01-10 17:45:07,993 - shioda_picard_computation.py:182 - INFO - ID: 6032, rho=20, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([3, 0, 1, 0]), array([0, 3, 0, 1])]
2022-01-10 17:45:08,048 - shioda_picard_computation.py:182 - INFO - ID: 6033, rho=18, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([3, 0, 1, 0]), array([0, 3, 1, 0])]
2022-01-10 17:45:08,101 - shioda_picard_computation.py:182 - INFO - ID: 6034, rho=18, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([3, 0, 1, 0]), array([0, 4, 0, 0])]
2022-01-10 17:45:10,153 - shioda_picard_computation.py:182 - INFO - ID: 6044, rho=10, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([3, 0, 1, 0]), array([1, 3, 0, 0])]
2022-01-10 17:45:12,400 - shioda_picard_computation.py:182 - INFO - ID: 6067, rho=10, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([3, 1, 0, 0]), array([0, 3, 0, 1])]
2022-01-10 17:45:14,374 - shioda_picard_computation.py:182 - INFO - ID: 6068, rho=10, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([3, 1, 0, 0]), array([0, 3, 1, 0])]
2022-01-10 17:45:14,424 - shioda_picard_computation.py:182 - INFO - ID: 6069, rho=18, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([3, 1, 0, 0]), array([0, 4, 0, 0])]
2022-01-10 17:45:14,438 - shioda_picard_computation.py:182 - INFO - ID: 6079, rho=20, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([3, 1, 0, 0]), array([1, 3, 0, 0])]
2022-01-10 17:45:14,491 - shioda_picard_computation.py:182 - INFO - ID: 6102, rho=18, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([4, 0, 0, 0]), array([0, 3, 0, 1])]
2022-01-10 17:45:14,545 - shioda_picard_computation.py:182 - INFO - ID: 6103, rho=18, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([4, 0, 0, 0]), array([0, 3, 1, 0])]
2022-01-10 17:45:14,548 - shioda_picard_computation.py:182 - INFO - ID: 6104, rho=20, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([4, 0, 0, 0]), array([0, 4, 0, 0])]
2022-01-10 17:45:14,598 - shioda_picard_computation.py:182 - INFO - ID: 6114, rho=18, A=[array([0, 0, 0, 4]), array([0, 0, 4, 0]), array([4, 0, 0, 0]), array([1, 3, 0, 0])]
2022-01-10 17:45:17,165 - shioda_picard_computation.py:182 - INFO - ID: 10251, rho=16, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([0, 3, 0, 1]), array([3, 0, 0, 1])]
2022-01-10 17:46:16,966 - shioda_picard_computation.py:182 - INFO - ID: 10252, rho=4, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([0, 3, 0, 1]), array([3, 0, 1, 0])]
2022-01-10 17:46:18,931 - shioda_picard_computation.py:182 - INFO - ID: 10253, rho=16, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([0, 3, 0, 1]), array([3, 1, 0, 0])]
2022-01-10 17:46:20,927 - shioda_picard_computation.py:182 - INFO - ID: 10254, rho=10, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([0, 3, 0, 1]), array([4, 0, 0, 0])]
2022-01-10 17:46:21,527 - shioda_picard_computation.py:182 - INFO - ID: 10286, rho=18, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([0, 3, 1, 0]), array([3, 0, 0, 1])]
2022-01-10 17:46:22,074 - shioda_picard_computation.py:182 - INFO - ID: 10287, rho=14, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([0, 3, 1, 0]), array([3, 0, 1, 0])]
2022-01-10 17:46:22,626 - shioda_picard_computation.py:182 - INFO - ID: 10288, rho=14, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([0, 3, 1, 0]), array([3, 1, 0, 0])]
2022-01-10 17:46:22,640 - shioda_picard_computation.py:182 - INFO - ID: 10289, rho=20, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([0, 3, 1, 0]), array([4, 0, 0, 0])]
2022-01-10 17:46:22,692 - shioda_picard_computation.py:182 - INFO - ID: 10321, rho=20, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([0, 4, 0, 0]), array([3, 0, 0, 1])]
2022-01-10 17:46:24,653 - shioda_picard_computation.py:182 - INFO - ID: 10322, rho=10, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([0, 4, 0, 0]), array([3, 0, 1, 0])]
2022-01-10 17:46:24,705 - shioda_picard_computation.py:182 - INFO - ID: 10323, rho=18, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([0, 4, 0, 0]), array([3, 1, 0, 0])]
2022-01-10 17:46:24,757 - shioda_picard_computation.py:182 - INFO - ID: 10324, rho=18, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([0, 4, 0, 0]), array([4, 0, 0, 0])]
2022-01-10 17:47:23,631 - shioda_picard_computation.py:182 - INFO - ID: 10671, rho=4, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([1, 3, 0, 0]), array([3, 0, 0, 1])]
2022-01-10 17:47:24,529 - shioda_picard_computation.py:182 - INFO - ID: 10672, rho=20, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([1, 3, 0, 0]), array([3, 0, 1, 0])]
2022-01-10 17:47:25,080 - shioda_picard_computation.py:182 - INFO - ID: 10673, rho=14, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([1, 3, 0, 0]), array([3, 1, 0, 0])]
2022-01-10 17:47:27,061 - shioda_picard_computation.py:182 - INFO - ID: 10674, rho=10, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([1, 3, 0, 0]), array([4, 0, 0, 0])]
2022-01-10 17:47:29,054 - shioda_picard_computation.py:182 - INFO - ID: 10897, rho=16, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([3, 0, 0, 1]), array([0, 3, 0, 1])]
2022-01-10 17:47:29,583 - shioda_picard_computation.py:182 - INFO - ID: 10898, rho=18, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([3, 0, 0, 1]), array([0, 3, 1, 0])]
2022-01-10 17:47:29,642 - shioda_picard_computation.py:182 - INFO - ID: 10899, rho=20, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([3, 0, 0, 1]), array([0, 4, 0, 0])]
2022-01-10 17:48:34,443 - shioda_picard_computation.py:182 - INFO - ID: 10909, rho=4, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([3, 0, 0, 1]), array([1, 3, 0, 0])]
2022-01-10 17:49:33,245 - shioda_picard_computation.py:182 - INFO - ID: 10932, rho=4, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([3, 0, 1, 0]), array([0, 3, 0, 1])]
2022-01-10 17:49:33,776 - shioda_picard_computation.py:182 - INFO - ID: 10933, rho=14, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([3, 0, 1, 0]), array([0, 3, 1, 0])]
2022-01-10 17:49:35,645 - shioda_picard_computation.py:182 - INFO - ID: 10934, rho=10, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([3, 0, 1, 0]), array([0, 4, 0, 0])]
2022-01-10 17:49:36,511 - shioda_picard_computation.py:182 - INFO - ID: 10944, rho=20, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([3, 0, 1, 0]), array([1, 3, 0, 0])]
2022-01-10 17:49:38,653 - shioda_picard_computation.py:182 - INFO - ID: 10967, rho=16, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([3, 1, 0, 0]), array([0, 3, 0, 1])]
2022-01-10 17:49:39,229 - shioda_picard_computation.py:182 - INFO - ID: 10968, rho=14, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([3, 1, 0, 0]), array([0, 3, 1, 0])]
2022-01-10 17:49:39,281 - shioda_picard_computation.py:182 - INFO - ID: 10969, rho=18, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([3, 1, 0, 0]), array([0, 4, 0, 0])]
2022-01-10 17:49:39,841 - shioda_picard_computation.py:182 - INFO - ID: 10979, rho=14, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([3, 1, 0, 0]), array([1, 3, 0, 0])]
2022-01-10 17:49:41,929 - shioda_picard_computation.py:182 - INFO - ID: 11002, rho=10, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([4, 0, 0, 0]), array([0, 3, 0, 1])]
2022-01-10 17:49:41,943 - shioda_picard_computation.py:182 - INFO - ID: 11003, rho=20, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([4, 0, 0, 0]), array([0, 3, 1, 0])]
2022-01-10 17:49:41,997 - shioda_picard_computation.py:182 - INFO - ID: 11004, rho=18, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([4, 0, 0, 0]), array([0, 4, 0, 0])]
2022-01-10 17:49:44,520 - shioda_picard_computation.py:182 - INFO - ID: 11014, rho=10, A=[array([0, 0, 0, 4]), array([0, 1, 3, 0]), array([4, 0, 0, 0]), array([1, 3, 0, 0])]
2022-01-10 17:49:47,430 - shioda_picard_computation.py:182 - INFO - ID: 14837, rho=16, A=[array([0, 0, 0, 4]), array([0, 3, 0, 1]), array([0, 0, 3, 1]), array([3, 0, 1, 0])]
2022-01-10 17:49:49,511 - shioda_picard_computation.py:182 - INFO - ID: 14838, rho=16, A=[array([0, 0, 0, 4]), array([0, 3, 0, 1]), array([0, 0, 3, 1]), array([3, 1, 0, 0])]
2022-01-10 17:49:49,560 - shioda_picard_computation.py:182 - INFO - ID: 14839, rho=18, A=[array([0, 0, 0, 4]), array([0, 3, 0, 1]), array([0, 0, 3, 1]), array([4, 0, 0, 0])]
2022-01-10 17:49:49,611 - shioda_picard_computation.py:182 - INFO - ID: 14871, rho=18, A=[array([0, 0, 0, 4]), array([0, 3, 0, 1]), array([0, 0, 4, 0]), array([3, 0, 0, 1])]
2022-01-10 17:49:49,661 - shioda_picard_computation.py:182 - INFO - ID: 14872, rho=20, A=[array([0, 0, 0, 4]), array([0, 3, 0, 1]), array([0, 0, 4, 0]), array([3, 0, 1, 0])]
2022-01-10 17:49:51,567 - shioda_picard_computation.py:182 - INFO - ID: 14873, rho=10, A=[array([0, 0, 0, 4]), array([0, 3, 0, 1]), array([0, 0, 4, 0]), array([3, 1, 0, 0])]
2022-01-10 17:49:51,617 - shioda_picard_computation.py:182 - INFO - ID: 14874, rho=18, A=[array([0, 0, 0, 4]), array([0, 3, 0, 1]), array([0, 0, 4, 0]), array([4, 0, 0, 0])]
2022-01-10 17:49:53,522 - shioda_picard_computation.py:182 - INFO - ID: 15011, rho=16, A=[array([0, 0, 0, 4]), array([0, 3, 0, 1]), array([0, 1, 3, 0]), array([3, 0, 0, 1])]
2022-01-10 17:50:52,419 - shioda_picard_computation.py:182 - INFO - ID: 15012, rho=4, A=[array([0, 0, 0, 4]), array([0, 3, 0, 1]), array([0, 1, 3, 0]), array([3, 0, 1, 0])]
2022-01-10 17:50:54,353 - shioda_picard_computation.py:182 - INFO - ID: 15013, rho=16, A=[array([0, 0, 0, 4]), array([0, 3, 0, 1]), array([0, 1, 3, 0]), array([3, 1, 0, 0])]
2022-01-10 17:50:56,259 - shioda_picard_computation.py:182 - INFO - ID: 15014, rho=10, A=[array([0, 0, 0, 4]), array([0, 3, 0, 1]), array([0, 1, 3, 0]), array([4, 0, 0, 0])]
